dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,938/938,447.80ms ± 1.14s,13720086.10 ± 41762124.13,2.23
Test_L1_R2,892/892,1.36s ± 1.91s,40595651.90 ± 63882793.92,0.74
Test_L1_R3,301/301,3.37s ± 2.79s,130391505.37 ± 126564010.70,0.3
Test_L2_R1,1000/1000,4.66ms ± 46.99ms,207942.24 ± 3333123.62,214.77
Test_L2_R2,1000/1000,41.61ms ± 202.61ms,1731151.36 ± 12704458.54,24.03
Test_L3_R1,1000/1000,31.00µs ± 55.90µs,92.84 ± 260.13,32257.02
