dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,1000/1000,11.86ms ± 31.59ms,236665.48 ± 769849.81,84.33
Test_L1_R2,939/939,991.97ms ± 1.67s,31348813.04 ± 59772365.24,1.01
Test_L1_R3,363/363,3.18s ± 2.72s,125101162.36 ± 120846845.69,0.31
Test_L2_R1,1000/1000,444.73µs ± 2.95ms,9472.32 ± 145017.74,2248.57
Test_L2_R2,1000/1000,35.16ms ± 204.08ms,1698780.34 ± 14980950.61,28.44
Test_L3_R1,1000/1000,30.07µs ± 52.68µs,131.63 ± 323.86,33253.52
