dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,0/824,728.31ms ± 1.73s,48882979.33 ± 119803261.43,1.37
Test_L1_R2,36/634,1.98s ± 2.54s,132672761.95 ± 177715368.06,0.5
Test_L1_R3,31/66,3.96s ± 3.21s,269636750.86 ± 219971809.16,0.25
Test_L2_R1,23/1000,15.28ms ± 162.00ms,927942.91 ± 9336172.08,65.44
Test_L2_R2,330/993,174.45ms ± 745.17ms,11156833.83 ± 50346698.09,5.73
Test_L3_R1,609/1000,1.85µs ± 7.48µs,107.14 ± 452.78,541418.52
