dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,1000/1000,553.61µs ± 1.36ms,3691.62 ± 10412.90,1806.34
Test_L1_R2,1000/1000,120.37ms ± 210.82ms,1449482.75 ± 2780086.54,8.31
Test_L1_R3,1000/1000,3.57s ± 5.31s,49099387.29 ± 74044254.59,0.28
Test_L2_R1,1000/1000,105.30µs ± 210.97µs,517.24 ± 1289.05,9496.68
Test_L2_R2,1000/1000,6.05ms ± 10.34ms,48292.27 ± 101008.65,165.42
Test_L3_R1,1000/1000,21.33µs ± 38.03µs,54.93 ± 130.87,46888.92
