dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,0/974,294.09ms ± 1.12s,8805948.36 ± 35452459.36,3.4
Test_L1_R2,46/971,560.86ms ± 1.15s,17452634.97 ± 43226669.00,1.78
Test_L1_R3,142/516,2.52s ± 2.48s,97745094.76 ± 109398285.15,0.4
Test_L2_R1,23/1000,1.31ms ± 6.82ms,29910.44 ± 255247.76,764.01
Test_L2_R2,334/1000,20.36ms ± 122.36ms,801454.92 ± 8005042.98,49.11
Test_L3_R1,609/1000,24.82µs ± 44.81µs,74.48 ± 200.27,40298.21
