dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,0/239,2.30s ± 2.70s,44824851.45 ± 52721069.68,0.43
Test_L1_R2,3/107,3.06s ± 2.85s,63951762.52 ± 60323005.18,0.33
Test_L1_R3,1/1,5.57s ± 0.00µs,134652848.00 ± 0.00,0.18
Test_L2_R1,23/984,202.20ms ± 945.42ms,4544127.27 ± 21706015.46,4.95
Test_L2_R2,294/893,787.25ms ± 1.71s,17813026.56 ± 38735739.29,1.27
Test_L3_R1,609/1000,13.77µs ± 58.18µs,222.86 ± 1117.53,72632.19
