dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,131/989,255.50ms ± 1.00s,10337877.67 ± 43928071.04,3.91
Test_L1_R2,46/985,392.02ms ± 1.02s,17484831.49 ± 54295132.61,2.55
Test_L1_R3,156/575,2.30s ± 2.49s,97368630.64 ± 118222401.71,0.44
Test_L2_R1,190/1000,981.31µs ± 4.96ms,19799.81 ± 169647.21,1019.04
Test_L2_R2,334/1000,15.26ms ± 88.01ms,564637.34 ± 5465665.74,65.54
Test_L3_R1,704/1000,18.78µs ± 35.41µs,43.30 ± 123.76,53259.48
