dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,0/754,929.29ms ± 1.75s,17267776.16 ± 33448262.18,1.08
Test_L1_R2,23/463,2.34s ± 2.50s,42674967.67 ± 47357459.15,0.43
Test_L1_R3,14/31,3.92s ± 2.78s,76384777.87 ± 53690286.22,0.26
Test_L2_R1,23/999,41.97ms ± 375.90ms,715646.44 ± 6491263.21,23.83
Test_L2_R2,322/977,342.74ms ± 1.04s,5658983.82 ± 17512465.72,2.92
Test_L3_R1,609/1000,10.19µs ± 35.98µs,107.14 ± 452.78,98125.8
