dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,771/771,1.08s ± 1.93s,64344627.19 ± 117886923.53,0.93
Test_L1_R2,477/477,2.78s ± 2.68s,172064759.52 ± 176215997.73,0.36
Test_L1_R3,37/37,4.52s ± 2.82s,299779308.38 ± 198870230.79,0.22
Test_L2_R1,1000/1000,27.94ms ± 259.24ms,2081790.21 ± 20016576.13,35.8
Test_L2_R2,990/990,252.83ms ± 883.34ms,17982268.39 ± 65032116.71,3.96
Test_L3_R1,1000/1000,2.60µs ± 9.16µs,139.66 ± 518.35,384172.11
