dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,0/962,283.69ms ± 1.06s,8002436.83 ± 33547578.99,3.52
Test_L1_R2,46/971,668.21ms ± 1.35s,20162062.42 ± 48841431.37,1.5
Test_L1_R3,134/477,2.84s ± 2.66s,97816990.96 ± 106600700.80,0.35
Test_L2_R1,23/1000,1.44ms ± 6.90ms,28752.60 ± 217182.32,696.29
Test_L2_R2,334/1000,21.08ms ± 108.23ms,752277.64 ± 6315429.61,47.44
Test_L3_R1,609/1000,25.47µs ± 47.07µs,68.69 ± 209.11,39260.34
