dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,659/659,1.49s ± 2.42s,22791293.83 ± 37772343.33,0.67
Test_L1_R2,273/273,3.54s ± 2.81s,54252162.26 ± 44441180.88,0.28
Test_L1_R3,14/14,6.05s ± 2.88s,128001165.71 ± 66454764.91,0.17
Test_L2_R1,998/998,68.10ms ± 556.93ms,1333319.88 ± 10985600.97,14.68
Test_L2_R2,967/967,484.11ms ± 1.27s,9237349.55 ± 24432175.79,2.07
Test_L3_R1,1000/1000,10.56µs ± 32.78µs,139.66 ± 518.35,94696.97
