dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,240/1000,3.21ms ± 11.59ms,25481.49 ± 110046.86,312.0
Test_L1_R2,46/1000,60.60ms ± 135.69ms,663115.85 ± 1762052.90,16.5
Test_L1_R3,310/1000,2.54s ± 4.74s,33565545.74 ± 63078715.94,0.39
Test_L2_R1,223/1000,131.08µs ± 530.14µs,618.42 ± 3025.96,7629.16
Test_L2_R2,334/1000,3.51ms ± 7.46ms,23810.49 ± 64822.08,284.7
Test_L3_R1,708/1000,16.68µs ± 31.23µs,31.46 ± 85.23,59944.85
