dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,4/4,2.75µs ± 0.50µs,16.75 ± 3.50,363636.36
Test_L2_R1,677/677,726.45ms ± 1.76s,24808142.62 ± 60972466.06,1.38
Test_L2_R2,262/262,1.78s ± 2.47s,64192081.29 ± 89725920.01,0.56
Test_L3_R1,1000/1000,331.12µs ± 1.93ms,11024.54 ± 66049.15,3020.07
