dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,1000/1000,4.91ms ± 9.74ms,107356.01 ± 354027.89,203.75
Test_L1_R2,969/969,595.32ms ± 1.24s,28756428.81 ± 69173339.33,1.68
Test_L1_R3,436/436,2.79s ± 2.62s,126281407.02 ± 133470783.85,0.36
Test_L2_R1,1000/1000,249.36µs ± 1.05ms,4134.58 ± 59909.40,4010.25
Test_L2_R2,1000/1000,25.87ms ± 156.91ms,1135470.31 ± 10224412.48,38.65
Test_L3_R1,1000/1000,22.84µs ± 42.06µs,70.71 ± 185.51,43788.59
