dataset,correct,time_mean_std,explore_nodes_mean_std,pos_per_sec
Test_L1_R1,16/16,1.39ms ± 2.69ms,17420.56 ± 36698.03,718.39
Test_L2_R1,689/689,1.22ms ± 2.03ms,14877.63 ± 27272.60,818.22
Test_L2_R2,198/198,3.45ms ± 2.58ms,43810.30 ± 37370.73,289.78
Test_L3_R1,1000/1000,32.30µs ± 136.47µs,283.62 ± 1313.06,30956.88
